,Title,Type,Rating score,Rating Count,Enrollments,Level
0,Search Engine Optimization (SEO),SPECIALIZATION,4.6,7065,170k,Beginner
1,Create Your First Chatbot with Rasa and Python,GUIDED PROJECT,4.5,615,12k,Beginner
2,Improve Your English Communication Skills,SPECIALIZATION,4.7,15383,910k,Beginner
3,Detecting COVID-19 with Chest X-Ray using PyTorch,GUIDED PROJECT,4.6,163,5.2k,Intermediate
4,Introduction to Project Management,GUIDED PROJECT,4.6,1425,22k,Beginner
5,Build a Full Website using WordPress,GUIDED PROJECT,4.5,1164,23k,Advanced
6,Build Your Portfolio Website with HTML and CSS,GUIDED PROJECT,4.5,1480,22k,Beginner
7,Introduction to Python,GUIDED PROJECT,4.5,1324,19k,Beginner
8,Unsupervised Machine Learning for Customer Market Segmentation,GUIDED PROJECT,4.8,186,6k,Beginner
9,Facial Expression Recognition with Keras,GUIDED PROJECT,4.5,801,17k,Intermediate
10,Introduction to Relational Database and SQL,GUIDED PROJECT,4.5,1195,18k,Beginner
11,Build a Data Science Web App with Streamlit and Python,GUIDED PROJECT,4.6,533,11k,Intermediate
12,Perform Sentiment Analysis with scikit-learn,GUIDED PROJECT,4.5,368,7.5k,Intermediate
13,Create Your First Python Program,GUIDED PROJECT,4.6,1874,22k,Beginner
15,Python World Map Geovisualization Dashboard using Covid Data,GUIDED PROJECT,4.4,42,2.2k,Beginner
16,Computer Vision - Object Detection with OpenCV and Python,GUIDED PROJECT,3.9,400,10k,Intermediate
17,Git + GitHub for Open Source Collaboration,GUIDED PROJECT,4.3,213,5.1k,Beginner
18,Pandas Python Library for Beginners in Data Science,GUIDED PROJECT,4.5,141,3.2k,Beginner
20,"Javascript animation for websites, storytelling, data visualization and games",GUIDED PROJECT,4.2,97,5k,Intermediate
21,Data Engineering with Google Cloud,PROFESSIONAL CERTIFICATE,4.6,12906,160k,Intermediate
22,Spreadsheets for Beginners using Google Sheets,GUIDED PROJECT,4.7,1373,25k,Beginner
23,Python Geospatial Data Analysis,GUIDED PROJECT,4.5,26,2.1k,Beginner
24,Getting Started in Google Analytics,GUIDED PROJECT,4.6,381,10k,Beginner
25,Object-Oriented Programming with Java,GUIDED PROJECT,4.5,1029,17k,Intermediate
26,Learn Javascript with zero prior programming experience,GUIDED PROJECT,4.2,10,1.7k,Beginner
27,Exploratory Data Analysis with Seaborn,GUIDED PROJECT,4.7,272,6.1k,Intermediate
28,Perform Real-Time Object Detection with YOLOv3,GUIDED PROJECT,3.7,223,6k,Intermediate
29,Investment Risk Management,GUIDED PROJECT,4.5,205,5.9k,Intermediate
30,Image Classification with CNNs using Keras,GUIDED PROJECT,4.4,464,9.2k,Intermediate
32,Linear Regression with NumPy and Python,GUIDED PROJECT,4.4,760,13k,Intermediate
35,Create Your First Multithreaded Application in Java,GUIDED PROJECT,4.4,45,1.8k,Intermediate
36,University Admission Prediction Using Multiple Linear Regression,GUIDED PROJECT,4.6,122,4.3k,Intermediate
37,Querying Databases Using SQL SELECT statement,GUIDED PROJECT,4.5,49,1.8k,Intermediate
38,User Experience Design – Creating User Profiles,GUIDED PROJECT,4.2,168,4.6k,Beginner
39,Build a Machine Learning Web App with Streamlit and Python,GUIDED PROJECT,4.7,285,7.2k,Intermediate
41,Network Data Science with NetworkX and Python,GUIDED PROJECT,4.5,54,2.3k,Intermediate
44,Predict Future Product Prices Using Facebook Prophet,GUIDED PROJECT,4.4,327,5.6k,Intermediate
45,Automatic Machine Learning with H2O AutoML and Python,GUIDED PROJECT,4.8,105,4.4k,Intermediate
46,Intermediate Pandas Python Library for Data Science,GUIDED PROJECT,4.6,43,2.1k,Intermediate
48,TensorFlow Serving with Docker for Model Deployment,GUIDED PROJECT,4.9,15,1.8k,Intermediate
49,Building Digital Media using Graphic Design in Google Slides,GUIDED PROJECT,4.5,286,6.2k,Beginner
50,Digital Product Management,SPECIALIZATION,4.7,4947,190k,Beginner
51,Agile Development,SPECIALIZATION,4.7,2741,120k,Beginner
52,Learning How to Learn: Powerful mental tools to help you master tough subjects,COURSE,4.8,66017,2.5m,Mixed
53,Big Data,SPECIALIZATION,4.5,10796,260k,Beginner
54,Finance for Non-Finance Professionals,COURSE,4.8,1737,87k,Beginner
55,Software Development Lifecycle,SPECIALIZATION,4.7,2371,58k,Intermediate
56,Become a Journalist: Report the News!,SPECIALIZATION,4.7,1017,35k,Beginner
57,Market Research,SPECIALIZATION,4.5,721,36k,Beginner
58,How to Start Your Own Business,SPECIALIZATION,4.3,352,50k,Beginner
59,Driving business towards the Sustainable Development Goals,COURSE,4.8,323,8.9k,Beginner
60,Healing with the Arts,COURSE,4.6,543,53k,Mixed
61,Administración de Proyectos: Principios Básicos,SPECIALIZATION,4.7,3700,93k,Beginner
62,Foundations of Mindfulness,COURSE,4.8,67,10k,Beginner
63,User Interface Design,SPECIALIZATION,4.6,1137,54k,Intermediate
64,Business Transformation with Google Cloud,COURSE,4.7,626,17k,Beginner
65,Excel Skills for Business: Intermediate II,COURSE,4.8,4256,83k,Intermediate
66,Esports,SPECIALIZATION,4.6,112,3.5k,Beginner
67,Startup Entrepreneurship,SPECIALIZATION,4.7,1310,54k,Beginner
68,"Big Data Essentials: HDFS, MapReduce and Spark RDD",COURSE,4,474,42k,Intermediate
69,Writing Professional Email and Memos (Project-Centered Course),COURSE,4.3,246,67k,Mixed
70,"The Power of Machine Learning: Boost Business, Accumulate Clicks, Fight Fraud, and Deny Deadbeats",COURSE,4.9,36,2.3k,Beginner
71,Effective Communication in the Globalised Workplace,SPECIALIZATION,4.4,307,23k,Intermediate
72,iOS Development for Creative Entrepreneurs,SPECIALIZATION,4.5,671,47k,Beginner
73,Designing Your Personal Weight Loss Plan,COURSE,4.1,411,99k,Beginner
74,How To Create a Website in a Weekend! (Project-Centered Course),COURSE,3.3,493,160k,Mixed
75,Introduction to Bash Shell Scripting,GUIDED PROJECT,4.5,345,5.7k,Beginner
76,Project: Creating Your First C++ Application,GUIDED PROJECT,4.4,556,11k,Beginner
77,Basic Image Classification with TensorFlow,GUIDED PROJECT,4.6,543,11k,Beginner
79,Analyzing Company’s Performance using Ratios,GUIDED PROJECT,4.4,191,4.4k,Intermediate
80,Brand Marketing and SEO Tools using Wix,GUIDED PROJECT,4.7,82,2.5k,Beginner
81,Pricing Strategy,COURSE,4.6,796,28k,Mixed
82,Data Visualization with Plotly Express,GUIDED PROJECT,4.7,185,4.6k,Intermediate
83,Website Optimization Client Report Project,COURSE,4.7,183,11k,Intermediate
84,"Classification Trees in Python, From Start To Finish",GUIDED PROJECT,4.6,185,6.5k,Intermediate
86,Writing and Editing: Drafting,COURSE,4.7,69,3.5k,Beginner
87,Convolutions for Text Classification with Keras,GUIDED PROJECT,4.7,85,2.4k,Intermediate
88,Principal Component Analysis with NumPy,GUIDED PROJECT,4.6,225,5.8k,Intermediate
90,Develop a Company Website with Wix,GUIDED PROJECT,4.6,206,6k,Beginner
93,Use Canva to Design Digital Course Collateral,GUIDED PROJECT,4.8,72,2k,Advanced
94,Create a Business Marketing Brand Kit Using Canva,GUIDED PROJECT,4.7,462,8.8k,Intermediate
99,Creating Database Tables with SQL,GUIDED PROJECT,4.6,246,4.5k,Intermediate
103,Financing and Profiting from Innovation for Corporate Entrepreneurs,COURSE,4.6,27,2.6k,Beginner
104,"Lesson | Business English Skills: How to Navigate Tone, Formality, and Directness in Emails",COURSE,4.8,20,7.8k,Intermediate
105,"Fundamentals of Financial Planning, with Goldman Sachs 10,000 Women",COURSE,4.6,95,5.8k,Mixed
108,Discounted Cash Flow Modeling,GUIDED PROJECT,4.5,147,5.4k,Intermediate
109,Portfolio Diversification using Correlation Matrix,GUIDED PROJECT,4.7,163,3.1k,Intermediate
